"ID","species","treatment","experiment","size_female_parent","size_male_parent","carcass_weight","n_survival_larvae_48","n_survival_at_dispersal","n_survival_to_adult","average_weight_larvae_0","average_weight_larvae_48","average_weight_at_dispersal","average_hatching_time","average_size_adult_offspring","total_n_larvae"
"1005","Ves","silenced","1",5.536,6.059,17.6,9,8,3,0.00266,0.10402,0.19642,58,5.579,10
"1008","Ves","silenced","1",5.182,5.556,18.2,6,6,5,0.00269,0.10794,0.19629,72,5.5695,10
"1019","Ves","silenced","1",5.126,5.572,17.9,7,6,4,0.00272,0.09006,0.20645,76,5.331,10
"1021","Ves","silenced","1",6.031,5.372,21.8,5,5,5,0.00243,0.07619,0.18955,52,5.5435,10
"1023","Ves","silenced","2",5.428,5.686,21.1,5,1,0,0.00245,0.10491,0.1319,74,NA,10
"1028","Ves","silenced","2",5.379,5.799,22.3,5,4,2,0.00244,0.09271,0.18108,92,5.597,10
"102","Ves","silenced","1",4.644,5.531,21.6,4,4,3,0.00234,0.08587,0.19779,76,5.468,10
"103","Ves","silenced","1",5.267,5.297,21.5,5,4,3,0.00263,0.0734,0.22378,64,5.693,10
"104","Ves","silenced","1",5.407,5.024,22.5,7,6,4,0.0024,0.07768,0.20469,68,5.7055,10
"105","Ves","silenced","1",5.082,6.101,19.9,5,4,4,0.00237,0.08671,0.19916,80,5.5255,10
"106","Ves","silenced","1",5.856,5.816,19.4,6,6,6,0.00257,0.08658,0.22743,76,5.841,10
"108","Ves","silenced","1",5.847,5.565,20.4,9,5,5,0.00254,0.09231,0.21013,80,5.7705,10
"110","Ves","silenced","1",5.853,5.407,22.4,9,8,8,0.0025,0.08413,0.20834,64,5.758,10
"113","Ves","silenced","2",6.044,5.595,18.9,8,8,8,0.0028,0.10703,0.24893,64,5.8425,10
"114","Ves","silenced","2",5.981,5.746,21.6,9,9,8,0.00269,0.08381,0.23406,62,5.7335,10
